,route_long_name,g_trip_headsign,route_id,route_short_name,direction_id,variation_route_id,first_stop_id,last_stop_id,first_stop_name,last_stop_name,num_stops,first_stop_point,last_stop_point
BR28,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5235101,Galway Tech Park,Gortcam,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.00224307645383 53.2862155063504)
BR29,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5236401,Galway Tech Park,Clarke Avenue,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.02191506924333 53.2866417308865)
BR30,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5220901,Galway Tech Park,Salthill Road Lwr,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.07279965743211 53.2625757412361)
BR31,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5221401,Galway Tech Park,Forster Park,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.0801860381487 53.2642256636509)
BR32,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5234701,Galway Tech Park,The Paddocks,37,POINT (-8.98686582677608 53.2990249478803),POINT (-8.99444814772905 53.2909002829322)
BR33,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5236701,Galway Tech Park,Loyola Park,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.03606407842082 53.2800756554331)
BR34,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5221001,Galway Tech Park,Salthill Church,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.07498840330746 53.260794476236)
BR35,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5234401,Galway Tech Park,Ballybrit RC,37,POINT (-8.98686582677608 53.2990249478803),POINT (-8.98609174633832 53.297332735448)
BR36,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5220601,Galway Tech Park,Lios Ealtan,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.066000123803 53.2682269482251)
BR37,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5220801,Galway Tech Park,Devon Park,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.0722443478604 53.2649444486082)
BR38,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5221301,Galway Tech Park,Oaklands,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.08000297684139 53.2617198078764)
BR39,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5220301,Galway Tech Park,Fr Griffin Avenue,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.06300814450936 53.2678761857422)
