,origin_poi,destination_poi,route_id,origin_stop_id,destination_stop_id,origin_stop_order,destination_stop_order,hops,transit_distance_m,walking_distance_from_origin_poi_m,walking_distance_to_dest_poi_m,total_journey_distance_m
0,NUIG Education,Ballybrit,407,8460B522331,8460B5304201,0,13,13,15613.604452334841,632.3058076077008,409.914793361915,16655.825053304456
4,NUIG Education,Ballybrit,407,8460B5230201,8460B5304201,1,13,12,15234.01021148999,384.88785387320945,409.914793361915,16028.812858725114
5,NUIG Education,Ballybrit,407,8460B5237101,8460B5304201,11,13,2,4275.334619280919,546.488050038807,409.914793361915,5231.737462681641
3,NUIG Education,Ballybrit,409,8460B522331,8460B5242601,0,17,17,21479.793721504604,632.3058076077008,737.8578932351003,22849.957422347405
1,NUIG Education,Ballybrit,409,8460B522331,8460B5234201,0,19,19,21930.173107819188,632.3058076077008,732.2220137368707,23294.70092916376
2,NUIG Education,Ballybrit,409,8460B522331,8460B555431,0,20,20,22611.813900637746,632.3058076077008,745.881826632484,23990.00153487793
