,building_name,osm_id,building_type,latitude,longitude
B95,Building 2,161453015,building,53.29333731301834,-9.005137607476108
B96,Burren Mount,164356989,building,53.259245282704924,-9.077870085946802
B97,Business and Innovation Centre,43204207,building,53.28281650575832,-9.064847831901947
B98,CAMHS Inpatient Unit,188006479,building,53.277782966452634,-8.985474297649764
B99,Cairnes Building,25771889,building,53.284207646977684,-9.065833049835875
B100,Caiseal Eala,1082964036,building,53.27011890912104,-9.053302697945592
B101,Calbro Court,161384893,building,53.28436919907589,-9.035716794323228
B102,Calbro House,161384892,building,53.28454381249911,-9.035545871298053
B103,Cancer Care West - Inis Aoibhinn,165025336,building,53.27558844433373,-9.06842521102168
B104,Carraig Bed and Breakfast,764468536,building,53.314315487914016,-9.017295399598602
B105,Carraig Palmer,163501867,building,53.26078625809461,-9.074200214848975
B106,Cathedral Buildings,176479325,building,53.27279594300804,-9.051801081816086
B107,Ceann Boirne,161591553,building,53.27855602724745,-9.0081426148401
B108,Celestica Building 1,184424621,building,53.30207622995888,-8.998367071382734
B109,Celtic Futon Store,161443589,building,53.286089567714534,-9.037054638251394
B110,Cemetery Chapel,176487925,building,53.28151389977087,-9.037854433529578
B111,Centra,753792912,building,53.29018371555056,-9.006690475841102
B112,Centra,161479312,building,53.29227497858371,-9.019410642367594
B113,Centra,588467536,building,53.27124929941194,-9.0453750664674
B114,Centre Point,161449710,building,53.286095061938425,-9.035458665118945
B115,Century Apartments,163500193,building,53.26253725029764,-9.076031104221343
B116,Chadwicks,160675964,building,53.28379588854768,-9.030038652212061
B117,Chapel of Saint Columbanus,164865635,building,53.2805043018743,-9.06295709884557
B118,Charter House,161384914,building,53.284582315455594,-9.03626589512909
B119,Christ the King,37208306,building,53.260763439382394,-9.076189681394276
B120,Church of Saint Ignatius,131872729,building,53.26963465885283,-9.061659012781995
B121,Church of Saint Nicholas,128910161,building,53.27272156783324,-9.053692504455869
B122,Church of Saint Oliver Plunkett,141132304,building,53.27719439403315,-9.018771683573583
B123,Church of the Resurrection,176648689,building,53.29152239972215,-9.04044604390889
B124,Cill Cais,162445319,building,53.267617411974754,-9.106288989758312
B125,Circle K,1034248228,building,53.28153324790941,-9.03500556302543
B126,Circle K,100010223,building,53.28215201696304,-9.038730766602972
B127,Circle K,78103022,building,53.29009519562601,-9.006956592190814
B128,Circle K,25772053,building,53.28187057546994,-9.064942733288168
B129,Circle K,1038388819,building,53.281770005887424,-9.064785905653496
B130,Circle K,1039931013,building,53.28207248038992,-9.038931459615396
B131,Circle K,100009342,building,53.281461968047616,-9.034789888611147
B132,Circle K,78079067,building,53.277281732988754,-9.072082800577386
B133,Circle K Express,161479303,building,53.292189674520436,-9.019092461158642
B134,City Hall,52410902,building,53.27627011446016,-9.043573276688205
B135,Claddagh Hall,47090430,building,53.267134096322835,-9.053701770318122
B136,Claddagh House,211921676,building,53.26896762554884,-9.058065215848675
B137,Clare House,152105449,building,53.27255156058505,-9.051607408002512
B138,Cleggan House,162377565,building,53.275343013067456,-9.04954480013104
