LA,RoadNumber,RoadClass
Clare County Council,L-3082,Local Primary
Clare County Council,L-3084,Local Primary
Clare County Council,L-30841,Local Tertiary
Clare County Council,L-30842,Local Tertiary
Clare County Council,L-3086,Local Primary
Clare County Council,L-3088,Local Primary
Clare County Council,L-3090,Local Primary
Clare County Council,L-3092,Local Primary
Clare County Council,L-3094,Local Primary
Clare County Council,L-3096,Local Primary
Clare County Council,L-3098,Local Primary
Clare County Council,L-3099,Local Primary
Clare County Council,L-3100,Local Primary
Clare County Council,L-3101,Local Primary
Clare County Council,L-3102,Local Primary
Clare County Council,L-31020,Local Tertiary
Clare County Council,L-31021,Local Tertiary
Clare County Council,L-3104,Local Primary
Clare County Council,L-31041,Local Tertiary
Clare County Council,L-31042,Local Tertiary
Clare County Council,L-31043,Local Tertiary
Clare County Council,L-31044,Local Tertiary
Clare County Council,L-3106,Local Primary
Clare County Council,L-3108,Local Primary
Clare County Council,L-3110,Local Primary
Clare County Council,L-3112,Local Primary
Clare County Council,L-3114,Local Primary
Clare County Council,L-3116,Local Primary
Clare County Council,L-3118,Local Primary
Clare County Council,L-3120,Local Primary
Clare County Council,L-3122,Local Primary
Clare County Council,L-3124,Local Primary
Clare County Council,L-3126,Local Primary
Clare County Council,L-3128,Local Primary
Clare County Council,L-3130,Local Primary
Clare County Council,L-3132,Local Primary
Clare County Council,L-3134,Local Primary
Clare County Council,L-3136,Local Primary
Clare County Council,L-3138,Local Primary
Clare County Council,L-3140,Local Primary
Clare County Council,L-3142,Local Primary
Clare County Council,L-3144,Local Primary
Clare County Council,L-3145,Local Primary
Clare County Council,L-3147,Local Primary
Clare County Council,L-31471,Local Tertiary
Clare County Council,L-3148,Local Primary
Clare County Council,L-31481,Local Tertiary
Clare County Council,L-31482,Local Tertiary
Clare County Council,L-3149,Local Primary
Clare County Council,L-31491,Local Tertiary
Clare County Council,L-3150,Local Primary
Clare County Council,L-31501,Local Tertiary
Clare County Council,L-31502,Local Tertiary
Clare County Council,L-3151,Local Primary
Clare County Council,L-31511,Local Tertiary
Clare County Council,L-31512,Local Tertiary
Clare County Council,L-31513,Local Tertiary
Clare County Council,L-3152,Local Primary
Clare County Council,L-31521,Local Tertiary
Clare County Council,L-31522,Local Tertiary
Clare County Council,L-31523,Local Tertiary
Clare County Council,L-3154,Local Primary
Clare County Council,L-3156,Local Primary
Clare County Council,L-31560,Local Tertiary
Clare County Council,L-31561,Local Tertiary
Clare County Council,L-3158,Local Primary
Clare County Council,L-3159,Local Primary
Clare County Council,L-3160,Local Primary
Clare County Council,L-31601,Local Tertiary
Clare County Council,L-3162,Local Primary
Clare County Council,L-3164,Local Primary
Clare County Council,L-3166,Local Primary
Clare County Council,L-31661,Local Tertiary
Clare County Council,L-3168,Local Primary
Clare County Council,L-3169,Local Primary
Clare County Council,L-3170,Local Primary
Clare County Council,L-31701,Local Tertiary
Clare County Council,L-3171,Local Primary
Clare County Council,L-3172,Local Primary
Clare County Council,L-31721,Local Tertiary
Clare County Council,L-3173,Local Primary
Clare County Council,L-3174,Local Primary
Clare County Council,L-3176,Local Primary
Clare County Council,L-31761,Local Tertiary
Clare County Council,L-31762,Local Tertiary
Clare County Council,L-31763,Local Tertiary
Clare County Council,L-3177,Local Primary
Clare County Council,L-3178,Local Primary
Clare County Council,L-31781,Local Tertiary
Clare County Council,L-3179,Local Primary
Clare County Council,L-3180,Local Primary
Clare County Council,L-31801,Local Tertiary
Clare County Council,L-31802,Local Tertiary
Clare County Council,L-3181,Local Primary
Clare County Council,L-31811,Local Tertiary
Clare County Council,L-31812,Local Tertiary
Clare County Council,L-31813,Local Tertiary
Clare County Council,L-31814,Local Tertiary
Clare County Council,L-31815,Local Tertiary
Clare County Council,L-31816,Local Tertiary
Clare County Council,L-3182,Local Primary
Clare County Council,L-3183,Local Primary
Clare County Council,L-31831,Local Tertiary
Clare County Council,L-31832,Local Tertiary
Clare County Council,L-31833,Local Tertiary
Clare County Council,L-31834,Local Tertiary
Clare County Council,L-31835,Local Tertiary
Clare County Council,L-31836,Local Tertiary
Clare County Council,L-31837,Local Tertiary
Clare County Council,L-31838,Local Tertiary
Clare County Council,L-31839,Local Tertiary
Clare County Council,L-3184,Local Primary
Clare County Council,L-3185,Local Primary
Clare County Council,L-31851,Local Tertiary
Clare County Council,L-31852,Local Tertiary
Clare County Council,L-3186,Local Primary
Clare County Council,L-3187,Local Primary
Clare County Council,L-3188,Local Primary
Clare County Council,L-3190,Local Primary
Clare County Council,L-3192,Local Primary
Clare County Council,L-3194,Local Primary
Clare County Council,L-31941,Local Tertiary
Clare County Council,L-3195,Local Primary
Clare County Council,L-3196,Local Primary
Clare County Council,L-3198,Local Primary
Clare County Council,L-3199,Local Primary
Clare County Council,L-3202,Local Primary
Clare County Council,L-32021,Local Tertiary
Clare County Council,L-32022,Local Tertiary
Clare County Council,L-32023,Local Tertiary
Clare County Council,L-3204,Local Primary
Clare County Council,L-3300,Local Primary
Clare County Council,L-3301,Local Primary
Clare County Council,L-3302,Local Primary
Clare County Council,L-3303,Local Primary
Clare County Council,L-3304,Local Primary
Clare County Council,L-3306,Local Primary
Clare County Council,L-3308,Local Primary
Clare County Council,L-3310,Local Primary
Clare County Council,L-3311,Local Primary
Clare County Council,L-3312,Local Primary
Clare County Council,L-3314,Local Primary
Clare County Council,L-3318,Local Primary
Clare County Council,L-3320,Local Primary
Clare County Council,L-3322,Local Primary
Clare County Council,L-3324,Local Primary
Clare County Council,L-33240,Local Tertiary
Clare County Council,L-33241,Local Tertiary
Clare County Council,L-33242,Local Tertiary
Clare County Council,L-3326,Local Primary
Clare County Council,L-3328,Local Primary
Clare County Council,L-3330,Local Primary
Clare County Council,L-3331,Local Primary
Clare County Council,L-3332,Local Primary
Clare County Council,L-3334,Local Primary
Clare County Council,L-3336,Local Primary
Clare County Council,L-4000,Local Primary
Clare County Council,L-40001,Local Tertiary
Clare County Council,L-4002,Local Primary
Clare County Council,L-4004,Local Primary
Clare County Council,L-40041,Local Tertiary
Clare County Council,L-40042,Local Tertiary
Clare County Council,L-40043,Local Tertiary
Clare County Council,L-4010,Local Primary
Clare County Council,L-40101,Local Tertiary
Clare County Council,L-40102,Local Tertiary
Clare County Council,L-40103,Local Tertiary
Clare County Council,L-40104,Local Tertiary
Clare County Council,L-40105,Local Tertiary
Clare County Council,L-40106,Local Tertiary
Clare County Council,L-40107,Local Tertiary
Clare County Council,L-40108,Local Tertiary
Clare County Council,L-4012,Local Primary
Clare County Council,L-40121,Local Tertiary
Clare County Council,L-40122,Local Tertiary
Clare County Council,L-40123,Local Tertiary
Clare County Council,L-4014,Local Primary
Clare County Council,L-40141,Local Tertiary
Clare County Council,L-40142,Local Tertiary
Clare County Council,L-40143,Local Tertiary
Clare County Council,L-40144,Local Tertiary
Clare County Council,L-40145,Local Tertiary
Clare County Council,L-4016,Local Primary
Clare County Council,L-40161,Local Tertiary
Clare County Council,L-40162,Local Tertiary
Clare County Council,L-4018,Local Primary
Clare County Council,L-40181,Local Tertiary
Clare County Council,L-40182,Local Tertiary
Clare County Council,L-4020,Local Primary
Clare County Council,L-4022,Local Primary
Clare County Council,L-4024,Local Primary
Clare County Council,L-4026,Local Primary
Clare County Council,L-4028,Local Primary
Clare County Council,L-4030,Local Primary
Clare County Council,L-4032,Local Primary
Clare County Council,L-40321,Local Tertiary
Clare County Council,L-40322,Local Tertiary
Clare County Council,L-40323,Local Tertiary
Clare County Council,L-40324,Local Tertiary
Clare County Council,L-4034,Local Primary
Clare County Council,L-4036,Local Primary
Clare County Council,L-40361,Local Tertiary
Clare County Council,L-40362,Local Tertiary
Clare County Council,L-40363,Local Tertiary
Clare County Council,L-40364,Local Tertiary
Clare County Council,L-4038,Local Primary
Clare County Council,L-4040,Local Primary
Clare County Council,L-40401,Local Tertiary
Clare County Council,L-4042,Local Primary
Clare County Council,L-40421,Local Tertiary
Clare County Council,L-4044,Local Primary
Clare County Council,L-4048,Local Primary
Clare County Council,L-4050,Local Primary
Clare County Council,L-40501,Local Tertiary
Clare County Council,L-40502,Local Tertiary
Clare County Council,L-4052,Local Primary
Clare County Council,L-40521,Local Tertiary
Clare County Council,L-40522,Local Tertiary
Clare County Council,L-4054,Local Primary
Clare County Council,L-40541,Local Tertiary
Clare County Council,L-4056,Local Primary
Clare County Council,L-40561,Local Tertiary
Clare County Council,L-4058,Local Primary
Clare County Council,L-40581,Local Tertiary
Clare County Council,L-40582,Local Tertiary
Clare County Council,L-40583,Local Tertiary
Clare County Council,L-4060,Local Primary
Clare County Council,L-40601,Local Tertiary
Clare County Council,L-40602,Local Tertiary
Clare County Council,L-4062,Local Primary
Clare County Council,L-40621,Local Tertiary
Clare County Council,L-4064,Local Primary
Clare County Council,L-4066,Local Primary
Clare County Council,L-40661,Local Tertiary
Clare County Council,L-40662,Local Tertiary
Clare County Council,L-40663,Local Tertiary
Clare County Council,L-40664,Local Tertiary
Clare County Council,L-40665,Local Tertiary
Clare County Council,L-4070,Local Primary
Clare County Council,L-40701,Local Tertiary
Clare County Council,L-4072,Local Primary
Clare County Council,L-4074,Local Primary
Clare County Council,L-40741,Local Tertiary
Clare County Council,L-40742,Local Tertiary
Clare County Council,L-40743,Local Tertiary
Clare County Council,L-40744,Local Tertiary
Clare County Council,L-40745,Local Tertiary
Clare County Council,L-40746,Local Tertiary
Clare County Council,L-4076,Local Primary
Clare County Council,L-40761,Local Tertiary
Clare County Council,L-40762,Local Tertiary
Clare County Council,L-40763,Local Tertiary
Clare County Council,L-4078,Local Primary
Clare County Council,L-4080,Local Primary
Clare County Council,L-4081,Local Primary
Clare County Council,L-40810,Local Tertiary
Clare County Council,L-4082,Local Primary
Clare County Council,L-40821,Local Tertiary
Clare County Council,L-4083,Local Primary
Clare County Council,L-40830,Local Tertiary
Clare County Council,L-40831,Local Tertiary
Clare County Council,L-40832,Local Tertiary
Clare County Council,L-40833,Local Tertiary
Clare County Council,L-40834,Local Tertiary
Clare County Council,L-4084,Local Primary
Clare County Council,L-4086,Local Primary
Clare County Council,L-4088,Local Primary
Clare County Council,L-4090,Local Primary
Clare County Council,L-40901,Local Tertiary
Clare County Council,L-4092,Local Primary
Clare County Council,L-4094,Local Primary
Clare County Council,L-4096,Local Primary
Clare County Council,L-4098,Local Primary
Clare County Council,L-4100,Local Primary
Clare County Council,L-4101,Local Primary
Clare County Council,L-4102,Local Primary
Clare County Council,L-41021,Local Tertiary
Clare County Council,L-41022,Local Tertiary
Clare County Council,L-41023,Local Tertiary
Clare County Council,L-41024,Local Tertiary
Clare County Council,L-4104,Local Primary
Clare County Council,L-41041,Local Tertiary
Clare County Council,L-4106,Local Primary
Clare County Council,L-4110,Local Primary
Clare County Council,L-4112,Local Primary
Clare County Council,L-41121,Local Tertiary
Clare County Council,L-4113,Local Primary
Clare County Council,L-4114,Local Primary
Clare County Council,L-4115,Local Primary
Clare County Council,L-41151,Local Tertiary
Clare County Council,L-4116,Local Primary
Clare County Council,L-41161,Local Tertiary
Clare County Council,L-41162,Local Tertiary
Clare County Council,L-4118,Local Primary
Clare County Council,L-41181,Local Tertiary
Clare County Council,L-41182,Local Tertiary
Clare County Council,L-4120,Local Primary
Clare County Council,L-41201,Local Tertiary
Clare County Council,L-41202,Local Tertiary
Clare County Council,L-41203,Local Tertiary
Clare County Council,L-41204,Local Tertiary
Clare County Council,L-41205,Local Tertiary
Clare County Council,L-41206,Local Tertiary
Clare County Council,L-4121,Local Primary
Clare County Council,L-41211,Local Tertiary
Clare County Council,L-4122,Local Primary
Clare County Council,L-41221,Local Tertiary
Clare County Council,L-4126,Local Primary
Clare County Council,L-41261,Local Tertiary
Clare County Council,L-41262,Local Tertiary
Clare County Council,L-41263,Local Tertiary
Clare County Council,L-41264,Local Tertiary
Clare County Council,L-41265,Local Tertiary
Clare County Council,L-41266,Local Tertiary
Clare County Council,L-41267,Local Tertiary
Clare County Council,L-41268,Local Tertiary
Clare County Council,L-4127,Local Primary
Clare County Council,L-41271,Local Tertiary
Clare County Council,L-41272,Local Tertiary
Clare County Council,L-41273,Local Tertiary
Clare County Council,L-4128,Local Primary
Clare County Council,L-41281,Local Tertiary
Clare County Council,L-4129,Local Primary
Clare County Council,L-41291,Local Tertiary
Clare County Council,L-4130,Local Primary
Clare County Council,L-41301,Local Tertiary
Clare County Council,L-41303,Local Tertiary
Clare County Council,L-41304,Local Tertiary
Clare County Council,L-4134,Local Primary
Clare County Council,L-41341,Local Tertiary
Clare County Council,L-4136,Local Primary
Clare County Council,L-4138,Local Primary
Clare County Council,L-41382,Local Tertiary
Clare County Council,L-4140,Local Primary
Clare County Council,L-41401,Local Tertiary
Clare County Council,L-4142,Local Primary
Clare County Council,L-41421,Local Tertiary
Clare County Council,L-4143,Local Primary
Clare County Council,L-41431,Local Tertiary
Clare County Council,L-41432,Local Tertiary
Clare County Council,L-4144,Local Primary
Clare County Council,L-41441,Local Tertiary
Clare County Council,L-41443,Local Tertiary
Clare County Council,L-4145,Local Primary
Clare County Council,L-4146,Local Primary
Clare County Council,L-41461,Local Tertiary
Clare County Council,L-41469,Local Tertiary
Clare County Council,L-4147,Local Primary
Clare County Council,L-4148,Local Primary
Clare County Council,L-41481,Local Tertiary
Clare County Council,L-41482,Local Tertiary
Clare County Council,L-41483,Local Tertiary
Clare County Council,L-41484,Local Tertiary
Clare County Council,L-4149,Local Primary
Clare County Council,L-4150,Local Primary
Clare County Council,L-41501,Local Tertiary
Clare County Council,L-4152,Local Primary
Clare County Council,L-41521,Local Tertiary
Clare County Council,L-4154,Local Primary
Clare County Council,L-4158,Local Primary
Clare County Council,L-4159,Local Primary
Clare County Council,L-4160,Local Primary
Clare County Council,L-41601,Local Tertiary
Clare County Council,L-4162,Local Primary
Clare County Council,L-41621,Local Tertiary
Clare County Council,L-4164,Local Primary
Clare County Council,L-41641,Local Tertiary
Clare County Council,L-4165,Local Primary
Clare County Council,L-41651,Local Tertiary
Clare County Council,L-4166,Local Primary
Clare County Council,L-41661,Local Tertiary
Clare County Council,L-4168,Local Primary
Clare County Council,L-4170,Local Primary
Clare County Council,L-41701,Local Tertiary
Clare County Council,L-4172,Local Primary
Clare County Council,L-4173,Local Primary
Clare County Council,L-41731,Local Tertiary
Clare County Council,L-41732,Local Tertiary
Clare County Council,L-41733,Local Tertiary
Clare County Council,L-41734,Local Tertiary
Clare County Council,L-41735,Local Tertiary
Clare County Council,L-4174,Local Primary
Clare County Council,L-4175,Local Primary
Clare County Council,L-4176,Local Primary
Clare County Council,L-41761,Local Tertiary
Clare County Council,L-41762,Local Tertiary
Clare County Council,L-41763,Local Tertiary
Clare County Council,L-41764,Local Tertiary
Clare County Council,L-4177,Local Primary
Clare County Council,L-41771,Local Tertiary
Clare County Council,L-41772,Local Tertiary
Clare County Council,L-41773,Local Tertiary
Clare County Council,L-41774,Local Tertiary
Clare County Council,L-4178,Local Primary
Clare County Council,L-4179,Local Primary
Clare County Council,L-4180,Local Primary
Clare County Council,L-4182,Local Primary
Clare County Council,L-4188,Local Primary
Clare County Council,L-4190,Local Primary
Clare County Council,L-4191,Local Primary
Clare County Council,L-4192,Local Primary
Clare County Council,L-4194,Local Primary
Clare County Council,L-4196,Local Primary
Clare County Council,L-4197,Local Primary
Clare County Council,L-4198,Local Primary
Clare County Council,L-4200,Local Primary
Clare County Council,L-42001,Local Tertiary
Clare County Council,L-42002,Local Tertiary
Clare County Council,L-42003,Local Tertiary
Clare County Council,L-4202,Local Primary
Clare County Council,L-42021,Local Tertiary
Clare County Council,L-4204,Local Primary
Clare County Council,L-4206,Local Primary
Clare County Council,L-42061,Local Tertiary
Clare County Council,L-42062,Local Tertiary
Clare County Council,L-4208,Local Primary
Clare County Council,L-4210,Local Primary
Clare County Council,L-4212,Local Primary
Clare County Council,L-4214,Local Primary
Clare County Council,L-4215,Local Primary
Clare County Council,L-4216,Local Primary
Clare County Council,L-4218,Local Primary
Clare County Council,L-4219,Local Primary
Clare County Council,L-4220,Local Primary
Clare County Council,L-4222,Local Primary
Clare County Council,L-42221,Local Tertiary
Clare County Council,L-42222,Local Tertiary
Clare County Council,L-42223,Local Tertiary
Clare County Council,L-42224,Local Tertiary
Clare County Council,L-4224,Local Primary
Clare County Council,L-42241,Local Tertiary
Clare County Council,L-4229,Local Primary
Clare County Council,L-42291,Local Tertiary
Clare County Council,L-4230,Local Primary
Clare County Council,L-42301,Local Tertiary
Clare County Council,L-42302,Local Tertiary
Clare County Council,L-42303,Local Tertiary
Clare County Council,L-4231,Local Primary
Clare County Council,L-42310,Local Tertiary
Clare County Council,L-4232,Local Primary
Clare County Council,L-4500,Local Primary
Clare County Council,L-45001,Local Tertiary
Clare County Council,L-4501,Local Primary
Clare County Council,L-45011,Local Tertiary
Clare County Council,L-45012,Local Tertiary
Clare County Council,L-4502,Local Primary
Clare County Council,L-45021,Local Tertiary
Clare County Council,L-45022,Local Tertiary
Clare County Council,L-4503,Local Primary
Clare County Council,L-45031,Local Tertiary
Clare County Council,L-45032,Local Tertiary
Clare County Council,L-4504,Local Primary
Clare County Council,L-4505,Local Primary
Clare County Council,L-4506,Local Primary
Clare County Council,L-45060,Local Tertiary
Clare County Council,L-4507,Local Primary
Clare County Council,L-45071,Local Tertiary
Clare County Council,L-4508,Local Primary
Clare County Council,L-4509,Local Primary
Clare County Council,L-4510,Local Primary
Clare County Council,L-4511,Local Primary
Clare County Council,L-4512,Local Primary
Clare County Council,L-45121,Local Tertiary
Clare County Council,L-4513,Local Primary
Clare County Council,L-4514,Local Primary
Clare County Council,L-45141,Local Tertiary
Clare County Council,L-4515,Local Primary
Clare County Council,L-4516,Local Primary
Clare County Council,L-4517,Local Primary
Clare County Council,L-4518,Local Primary
Clare County Council,L-4519,Local Primary
Clare County Council,L-4520,Local Primary
Clare County Council,L-4521,Local Primary
Clare County Council,L-4522,Local Primary
Clare County Council,L-4523,Local Primary
Clare County Council,L-45231,Local Tertiary
Clare County Council,L-45232,Local Tertiary
Clare County Council,L-45233,Local Tertiary
Clare County Council,L-45234,Local Tertiary
Clare County Council,L-45235,Local Tertiary
Clare County Council,L-45236,Local Tertiary
Clare County Council,L-4524,Local Primary
Clare County Council,L-4525,Local Primary
Clare County Council,L-4526,Local Primary
Clare County Council,L-45261,Local Tertiary
Clare County Council,L-4527,Local Primary
Clare County Council,L-4528,Local Primary
Clare County Council,L-4529,Local Primary
Clare County Council,L-4530,Local Primary
Clare County Council,L-4531,Local Primary
Clare County Council,L-45311,Local Tertiary
Clare County Council,L-4532,Local Primary
Clare County Council,L-45321,Local Tertiary
Clare County Council,L-4533,Local Primary
Clare County Council,L-4534,Local Primary
Clare County Council,L-4535,Local Primary
Clare County Council,L-4536,Local Primary
Clare County Council,L-4537,Local Primary
Clare County Council,L-4538,Local Primary
Clare County Council,L-4539,Local Primary
Clare County Council,L-4540,Local Primary
Clare County Council,L-4541,Local Primary
Clare County Council,L-4542,Local Primary
Clare County Council,L-4543,Local Primary
Clare County Council,L-4544,Local Primary
Clare County Council,L-4545,Local Primary
Clare County Council,L-4546,Local Primary
Clare County Council,L-4547,Local Primary
Clare County Council,L-4548,Local Primary
Clare County Council,L-4549,Local Primary
Clare County Council,L-4550,Local Primary
Clare County Council,L-4551,Local Primary
Clare County Council,L-4552,Local Primary
Clare County Council,L-45521,Local Tertiary
Clare County Council,L-45522,Local Tertiary
Clare County Council,L-45523,Local Tertiary
Clare County Council,L-45524,Local Tertiary
Clare County Council,L-45525,Local Tertiary
Clare County Council,L-45526,Local Tertiary
Clare County Council,L-4553,Local Primary
Clare County Council,L-4554,Local Primary
Clare County Council,L-4555,Local Primary
Clare County Council,L-45551,Local Tertiary
Clare County Council,L-4556,Local Primary
Clare County Council,L-4557,Local Primary
Clare County Council,L-4558,Local Primary
Clare County Council,L-4559,Local Primary
Clare County Council,L-4560,Local Primary
Clare County Council,L-45609,Local Tertiary
Clare County Council,L-4561,Local Primary
Clare County Council,L-45610,Local Tertiary
Clare County Council,L-4562,Local Primary
Clare County Council,L-4563,Local Primary
Clare County Council,L-4564,Local Primary
Clare County Council,L-4565,Local Primary
Clare County Council,L-4566,Local Primary
Clare County Council,L-4567,Local Primary
Clare County Council,L-4568,Local Primary
Clare County Council,L-4569,Local Primary
Clare County Council,L-4570,Local Primary
Clare County Council,L-45702,Local Tertiary
Clare County Council,L-4571,Local Primary
Clare County Council,L-4572,Local Primary
Clare County Council,L-4573,Local Primary
Clare County Council,L-4574,Local Primary
Clare County Council,L-4575,Local Primary
Clare County Council,L-4576,Local Primary
Clare County Council,L-4577,Local Primary
Clare County Council,L-4578,Local Primary
Clare County Council,L-4580,Local Primary
Clare County Council,L-4581,Local Primary
Clare County Council,L-45811,Local Tertiary
Clare County Council,L-45812,Local Tertiary
Clare County Council,L-45813,Local Tertiary
Clare County Council,L-45814,Local Tertiary
Clare County Council,L-45815,Local Tertiary
Clare County Council,L-4582,Local Primary
Clare County Council,L-4583,Local Primary
Clare County Council,L-4584,Local Primary
Clare County Council,L-4585,Local Primary
Clare County Council,L-4586,Local Primary
Clare County Council,L-45861,Local Tertiary
Clare County Council,L-4587,Local Primary
Clare County Council,L-4588,Local Primary
Clare County Council,L-45881,Local Tertiary
Clare County Council,L-45882,Local Tertiary
Clare County Council,L-4589,Local Primary
Clare County Council,L-45891,Local Tertiary
Clare County Council,L-4590,Local Primary
Clare County Council,L-45901,Local Tertiary
Clare County Council,L-45902,Local Tertiary
Clare County Council,L-45903,Local Tertiary
Clare County Council,L-4591,Local Primary
Clare County Council,L-4592,Local Primary
Clare County Council,L-45921,Local Tertiary
Clare County Council,L-4593,Local Primary
Clare County Council,L-45931,Local Tertiary
Clare County Council,L-45932,Local Tertiary
Clare County Council,L-45933,Local Tertiary
Clare County Council,L-45934,Local Tertiary
Clare County Council,L-45935,Local Tertiary
Clare County Council,L-4594,Local Primary
Clare County Council,L-4595,Local Primary
Clare County Council,L-4596,Local Primary
Clare County Council,L-4597,Local Primary
Clare County Council,L-45971,Local Tertiary
Clare County Council,L-4598,Local Primary
Clare County Council,L-4599,Local Primary
Clare County Council,L-4600,Local Primary
Clare County Council,L-4601,Local Primary
Clare County Council,L-46011,Local Tertiary
Clare County Council,L-4602,Local Primary
Clare County Council,L-4603,Local Primary
Clare County Council,L-46031,Local Tertiary
Clare County Council,L-46032,Local Tertiary
Clare County Council,L-4604,Local Primary
Clare County Council,L-4605,Local Primary
Clare County Council,L-46050,Local Tertiary
Clare County Council,L-46051,Local Tertiary
Clare County Council,L-46052,Local Tertiary
Clare County Council,L-46053,Local Tertiary
Clare County Council,L-46054,Local Tertiary
Clare County Council,L-46055,Local Tertiary
Clare County Council,L-46056,Local Tertiary
Clare County Council,L-46057,Local Tertiary
Clare County Council,L-46058,Local Tertiary
Clare County Council,L-46059,Local Tertiary
Clare County Council,L-4606,Local Primary
Clare County Council,L-46060,Local Tertiary
Clare County Council,L-46061,Local Tertiary
Clare County Council,L-46062,Local Tertiary
Clare County Council,L-46063,Local Tertiary
Clare County Council,L-46064,Local Tertiary
Clare County Council,L-46065,Local Tertiary
Clare County Council,L-46066,Local Tertiary
Clare County Council,L-46067,Local Tertiary
Clare County Council,L-46068,Local Tertiary
Clare County Council,L-4607,Local Primary
Clare County Council,L-4608,Local Primary
Clare County Council,L-4609,Local Primary
Clare County Council,L-4610,Local Primary
Clare County Council,L-4611,Local Primary
Clare County Council,L-46111,Local Tertiary
Clare County Council,L-46112,Local Tertiary
Clare County Council,L-4612,Local Primary
Clare County Council,L-4613,Local Primary
Clare County Council,L-4614,Local Primary
Clare County Council,L-4615,Local Primary
Clare County Council,L-46151,Local Tertiary
Clare County Council,L-4616,Local Primary
Clare County Council,L-46161,Local Tertiary
Clare County Council,L-4617,Local Primary
Clare County Council,L-4618,Local Primary
Clare County Council,L-46181,Local Tertiary
Clare County Council,L-46182,Local Tertiary
Clare County Council,L-46183,Local Tertiary
Clare County Council,L-4619,Local Primary
Clare County Council,L-4620,Local Primary
Clare County Council,L-4621,Local Primary
Clare County Council,L-4622,Local Primary
Clare County Council,L-46221,Local Tertiary
Clare County Council,L-4623,Local Primary
Clare County Council,L-4624,Local Primary
Clare County Council,L-4625,Local Primary
Clare County Council,L-46251,Local Tertiary
Clare County Council,L-4626,Local Primary
Clare County Council,L-4627,Local Primary
Clare County Council,L-4628,Local Primary
Clare County Council,L-4629,Local Primary
Clare County Council,L-4630,Local Primary
Clare County Council,L-4631,Local Primary
Clare County Council,L-46311,Local Tertiary
Clare County Council,L-46312,Local Tertiary
Clare County Council,L-46313,Local Tertiary
Clare County Council,L-4632,Local Primary
Clare County Council,L-46321,Local Tertiary
Clare County Council,L-4633,Local Primary
Clare County Council,L-4634,Local Primary
Clare County Council,L-4635,Local Primary
Clare County Council,L-4636,Local Primary
Clare County Council,L-46361,Local Tertiary
Clare County Council,L-4637,Local Primary
Clare County Council,L-46371,Local Tertiary
Clare County Council,L-4638,Local Primary
Clare County Council,L-46381,Local Tertiary
Clare County Council,L-46382,Local Tertiary
Clare County Council,L-46383,Local Tertiary
Clare County Council,L-46384,Local Tertiary
Clare County Council,L-46385,Local Tertiary
Clare County Council,L-4639,Local Primary
Clare County Council,L-46391,Local Tertiary
Clare County Council,L-46392,Local Tertiary
Clare County Council,L-4640,Local Primary
Clare County Council,L-4641,Local Primary
Clare County Council,L-4642,Local Primary
Clare County Council,L-46421,Local Tertiary
Clare County Council,L-4643,Local Primary
Clare County Council,L-46431,Local Tertiary
Clare County Council,L-4644,Local Primary
Clare County Council,L-4645,Local Primary
Clare County Council,L-4646,Local Primary
Clare County Council,L-46461,Local Tertiary
Clare County Council,L-46462,Local Tertiary
Clare County Council,L-46463,Local Tertiary
Clare County Council,L-46464,Local Tertiary
Clare County Council,L-4647,Local Primary
Clare County Council,L-46471,Local Tertiary
Clare County Council,L-46472,Local Tertiary
Clare County Council,L-46473,Local Tertiary
Clare County Council,L-4648,Local Primary
Clare County Council,L-4649,Local Primary
Clare County Council,L-4650,Local Primary
Clare County Council,L-46501,Local Tertiary
Clare County Council,L-46502,Local Tertiary
Clare County Council,L-46503,Local Tertiary
Clare County Council,L-46504,Local Tertiary
Clare County Council,L-46505,Local Tertiary
Clare County Council,L-46506,Local Tertiary
Clare County Council,L-46507,Local Tertiary
Clare County Council,L-46508,Local Tertiary
Clare County Council,L-4651,Local Primary
Clare County Council,L-46511,Local Tertiary
Clare County Council,L-46512,Local Tertiary
Clare County Council,L-4652,Local Primary
Clare County Council,L-4653,Local Primary
Clare County Council,L-46531,Local Tertiary
Clare County Council,L-4654,Local Primary
Clare County Council,L-4655,Local Primary
Clare County Council,L-46551,Local Tertiary
Clare County Council,L-4656,Local Primary
Clare County Council,L-46561,Local Tertiary
Clare County Council,L-4686,Local Primary
Clare County Council,L-46861,Local Tertiary
Clare County Council,L-46862,Local Tertiary
Clare County Council,L-4818,Local Primary
Clare County Council,L-4919,Local Primary
Clare County Council,L-5000,Local Secondary
Clare County Council,L-50001,Local Tertiary
Clare County Council,L-5001,Local Secondary
Clare County Council,L-5002,Local Secondary
Clare County Council,L-5004,Local Secondary
Clare County Council,L-5006,Local Secondary
Clare County Council,L-50061,Local Tertiary
Clare County Council,L-50062,Local Tertiary
Clare County Council,L-50063,Local Tertiary
Clare County Council,L-50064,Local Tertiary
Clare County Council,L-50065,Local Tertiary
Clare County Council,L-5008,Local Secondary
Clare County Council,L-50081,Local Tertiary
Clare County Council,L-50082,Local Tertiary
Clare County Council,L-5010,Local Secondary
Clare County Council,L-50101,Local Tertiary
Clare County Council,L-5012,Local Secondary
Clare County Council,L-5014,Local Secondary
Clare County Council,L-50141,Local Tertiary
Clare County Council,L-50142,Local Tertiary
Clare County Council,L-5018,Local Secondary
Clare County Council,L-5022,Local Secondary
