LA,RoadNumber,RoadClass
Cork City Council,L-10272,Local Tertiary
Cork City Council,L-10273,Local Tertiary
Cork City Council,L-10275,Local Tertiary
Cork City Council,L-1028,Local Primary
Cork City Council,L-10281,Local Tertiary
Cork City Council,L-10282,Local Tertiary
Cork City Council,L-10283,Local Tertiary
Cork City Council,L-10284,Local Tertiary
Cork City Council,L-10285,Local Tertiary
Cork City Council,L-10286,Local Tertiary
Cork City Council,L-10287,Local Tertiary
Cork City Council,L-10288,Local Tertiary
Cork City Council,L-1029,Local Primary
Cork City Council,L-10291,Local Tertiary
Cork City Council,L-10292,Local Tertiary
Cork City Council,L-10293,Local Tertiary
Cork City Council,L-10294,Local Tertiary
Cork City Council,L-10295,Local Tertiary
Cork City Council,L-10296,Local Tertiary
Cork City Council,L-10297,Local Tertiary
Cork City Council,L-1030,Local Primary
Cork City Council,L-10301,Local Tertiary
Cork City Council,L-10302,Local Tertiary
Cork City Council,L-10303,Local Tertiary
Cork City Council,L-10304,Local Tertiary
Cork City Council,L-10306,Local Tertiary
Cork City Council,L-10308,Local Tertiary
Cork City Council,L-1031,Local Primary
Cork City Council,L-10311,Local Tertiary
Cork City Council,L-10313,Local Tertiary
Cork City Council,L-10314,Local Tertiary
Cork City Council,L-10317,Local Tertiary
Cork City Council,L-10318,Local Tertiary
Cork City Council,L-1032,Local Primary
Cork City Council,L-10400,Local Tertiary
Cork City Council,L-10401,Local Tertiary
Cork City Council,L-10402,Local Tertiary
Cork City Council,L-10403,Local Tertiary
Cork City Council,L-10404,Local Tertiary
Cork City Council,L-10405,Local Tertiary
Cork City Council,L-10406,Local Tertiary
Cork City Council,L-10407,Local Tertiary
Cork City Council,L-1050,Local Primary
Cork City Council,L-1051,Local Primary
Cork City Council,L-1052,Local Primary
Cork City Council,L-10521,Local Tertiary
Cork City Council,L-1053,Local Primary
Cork City Council,L-1054,Local Primary
Cork City Council,L-1055,Local Primary
Cork City Council,L-10551,Local Tertiary
Cork City Council,L-10552,Local Tertiary
Cork City Council,L-10568,Local Tertiary
Cork City Council,L-1059,Local Primary
Cork City Council,L-1060,Local Primary
Cork City Council,L-10601,Local Tertiary
Cork City Council,L-1061,Local Primary
Cork City Council,L-1062,Local Primary
Cork City Council,L-1063,Local Primary
Cork City Council,L-1064,Local Primary
Cork City Council,L-1065,Local Primary
Cork City Council,L-1066,Local Primary
Cork City Council,L-1067,Local Primary
Cork City Council,L-1069,Local Primary
Cork City Council,L-1071,Local Primary
Cork City Council,L-1072,Local Primary
Cork City Council,L-1073,Local Primary
Cork City Council,L-1074,Local Primary
Cork City Council,L-1075,Local Primary
Cork City Council,L-1076,Local Primary
Cork City Council,L-10761,Local Tertiary
Cork City Council,L-1077,Local Primary
Cork City Council,L-1078,Local Primary
Cork City Council,L-1079,Local Primary
Cork City Council,L-1081,Local Primary
Cork City Council,L-1082,Local Primary
Cork City Council,L-1083,Local Primary
Cork City Council,L-10832,Local Tertiary
Cork City Council,L-1084,Local Primary
Cork City Council,L-1085,Local Primary
Cork City Council,L-1086,Local Primary
Cork City Council,L-1087,Local Primary
Cork City Council,L-1088,Local Primary
Cork City Council,L-1089,Local Primary
Cork City Council,L-1090,Local Primary
Cork City Council,L-10901,Local Tertiary
Cork City Council,L-1091,Local Primary
Cork City Council,L-10911,Local Tertiary
Cork City Council,L-1094,Local Primary
Cork City Council,L-1095,Local Primary
Cork City Council,L-1096,Local Primary
Cork City Council,L-1097,Local Primary
Cork City Council,L-1098,Local Primary
Cork City Council,L-1102,Local Primary
Cork City Council,L-1103,Local Primary
Cork City Council,L-1104,Local Primary
Cork City Council,L-1105,Local Primary
Cork City Council,L-1106,Local Primary
Cork City Council,L-1107,Local Primary
Cork City Council,L-1108,Local Primary
Cork City Council,L-1109,Local Primary
Cork City Council,L-1111,Local Primary
Cork City Council,L-1112,Local Primary
Cork City Council,L-1113,Local Primary
Cork City Council,L-1114,Local Primary
Cork City Council,L-1115,Local Primary
Cork City Council,L-1116,Local Primary
Cork City Council,L-1117,Local Primary
Cork City Council,L-11171,Local Tertiary
Cork City Council,L-1118,Local Primary
Cork City Council,L-18464,Local Tertiary
Cork City Council,L-2211,Local Primary
Cork City Council,L-2212,Local Primary
Cork City Council,L-2213,Local Primary
Cork City Council,L-2214,Local Primary
Cork City Council,L-2215,Local Primary
Cork City Council,L-2216,Local Primary
Cork City Council,L-22162,Local Tertiary
Cork City Council,L-2219,Local Primary
Cork City Council,L-2220,Local Primary
Cork City Council,L-2221,Local Primary
Cork City Council,L-22211,Local Tertiary
Cork City Council,L-2222,Local Primary
Cork City Council,L-22221,Local Tertiary
Cork City Council,L-2225,Local Primary
Cork City Council,L-2230,Local Primary
Cork City Council,L-2236,Local Primary
Cork City Council,L-2237,Local Primary
Cork City Council,L-2238,Local Primary
Cork City Council,L-2239,Local Primary
Cork City Council,L-2240,Local Primary
Cork City Council,L-2241,Local Primary
Cork City Council,L-2242,Local Primary
Cork City Council,L-2243,Local Primary
Cork City Council,L-2244,Local Primary
Cork City Council,L-2245,Local Primary
Cork City Council,L-2246,Local Primary
Cork City Council,L-2247,Local Primary
Cork City Council,L-2248,Local Primary
Cork City Council,L-2249,Local Primary
Cork City Council,L-2250,Local Primary
Cork City Council,L-2251,Local Primary
Cork City Council,L-2252,Local Primary
Cork City Council,L-2253,Local Primary
Cork City Council,L-2254,Local Primary
Cork City Council,L-2255,Local Primary
Cork City Council,L-2256,Local Primary
Cork City Council,L-2259,Local Primary
Cork City Council,L-2261,Local Primary
Cork City Council,L-2262,Local Primary
Cork City Council,L-2263,Local Primary
Cork City Council,L-2450,Local Primary
Cork City Council,L-2451,Local Primary
Cork City Council,L-2452,Local Primary
