Station Name: GALWAY (Univ.Coll.)
Station Height: 14 M 
Latitude:53.276  ,Longitude: -9.064


year:  -  Year
month: -  Month
rain:  -  Precipitation Amount (mm)
gdf:   -  Greatest daily fall (mm)
rd:    -  Number of rain days (0.2mm or more)
wd:    -  Number of wet days (1.0 mm or more)	
ind:   -  Indicator

year,month,ind,rain,gdf,rd,wd
1978,7,0,56.6,11.9,16,12
1978,8,0,106.7,31.1,15,11
1978,9,0,93.4,15.0,22,18
1978,10,0,48.8,12.7,15,8
1978,11,0,158.6,33.0,23,20
1978,12,0,137.3,15.6,24,20
1979,1,0,116.8,21.0,21,15
1979,2,0,55.1,12.6,12,9
1979,3,0,108.7,16.7,23,19
1979,4,0,74.9,17.5,21,15
1979,5,0,118.1,24.0,24,18
1979,6,0,53.1,16.8,13,7
1979,7,0,38.6,7.8,13,12
1979,8,0,109.0,16.7,23,21
1979,9,0,78.7,19.5,20,15
1979,10,0,94.6,17.2,20,14
1979,11,0,156.6,21.4,26,22
1979,12,0,165.4,19.5,29,26
1980,1,0,98.0,12.0,19,16
1980,2,0,111.6,20.9,21,19
1980,3,0,80.8,17.5,22,18
1980,4,0,17.4,7.0,10,4
1980,5,0,31.5,7.7,10,9
1980,6,0,98.5,12.8,26,20
1980,7,0,98.0,19.4,20,13
1980,8,0,114.1,24.5,19,16
1980,9,0,156.2,18.3,27,25
1980,10,0,172.1,31.2,24,20
1980,11,0,138.9,56.8,16,14
1980,12,0,147.2,24.1,26,23
1981,1,0,64.7,11.8,21,16
1981,2,0,80.0,17.3,19,13
1981,3,0,121.3,24.6,21,20
1981,4,0,28.9,12.7,9,4
1981,5,0,173.6,34.7,25,19
1981,6,0,101.7,23.1,17,11
1981,7,0,57.7,10.4,21,15
1981,8,0,70.0,20.9,14,11
1981,9,0,229.0,37.3,27,24
1981,10,0,115.9,11.7,24,20
1981,11,0,75.9,18.6,20,16
1981,12,0,81.1,15.3,18,14
1982,1,0,90.8,19.9,21,18
1982,2,0,98.5,13.3,20,17
1982,3,0,129.9,17.9,18,17
1982,4,0,37.1,11.4,8,6
1982,5,0,80.4,23.2,22,13
1982,6,0,120.6,21.5,17,17
1982,7,0,21.6,5.2,11,8
1982,8,0,119.3,26.0,25,19
1982,9,0,108.9,14.4,21,17
1982,10,0,158.2,25.5,24,21
1982,11,0,181.8,33.2,22,20
1982,12,0,163.2,20.0,26,26
1983,1,0,158.8,24.5,24,22
1983,2,0,42.4,16.7,12,10
1983,3,0,117.5,10.3,24,20
1983,4,0,71.6,12.6,24,19
1983,5,0,88.4,14.5,19,16
1983,6,0,53.2,13.1,15,9
1983,7,0,38.0,16.0,7,4
1983,8,0,76.0,36.4,13,11
1983,9,0,112.8,15.7,23,16
1983,10,0,220.9,38.0,24,23
1983,11,0,46.3,14.9,15,7
1983,12,0,180.8,44.0,24,20
1984,1,0,186.6,25.0,25,23
1984,2,0,84.2,18.8,15,11
1984,3,0,40.2,19.4,16,7
1984,4,0,61.5,25.4,12,8
1984,5,0,42.1,8.4,11,9
1984,6,0,68.0,20.6,10,9
1984,7,0,22.8,6.9,9,7
1984,8,0,91.0,23.8,14,10
1984,9,0,132.9,25.5,22,22
1984,10,0,170.2,24.2,24,21
1984,11,0,112.8,19.6,19,16
1984,12,0,130.8,13.2,24,20
1985,1,0,48.6,7.4,12,9
1985,2,0,42.0,21.1,12,7
1985,3,0,99.0,16.4,20,15
1985,4,0,67.9,10.5,18,12
1985,5,0,126.2,39.6,18,15
1985,6,0,45.2,7.0,18,12
1985,7,0,75.9,10.2,23,14
1985,8,0,236.1,22.6,29,27
1985,9,0,138.0,32.4,22,18
1985,10,0,67.2,13.1,14,11
1985,11,0,69.3,12.3,14,12
1985,12,0,129.1,19.4,25,22
1986,1,0,156.3,18.6,25,24
1986,2,0,0.6,0.5,1,0
1986,3,0,141.4,22.7,26,23
1986,4,0,81.5,14.6,17,13
1986,5,0,163.2,19.4,27,23
1986,6,0,89.4,25.2,22,12
1986,7,0,74.0,13.7,22,16
1986,8,0,141.9,38.7,19,14
1986,9,0,7.8,1.9,9,3
1986,10,0,164.6,23.2,22,19
1986,11,0,155.0,22.1,25,20
1986,12,0,190.4,22.6,28,24
1987,1,0,43.3,12.4,10,8
1987,2,0,75.8,18.4,13,11
1987,3,0,93.1,22.8,21,16
1987,4,0,62.3,10.8,18,15
1987,5,0,17.0,3.2,11,9
1987,6,0,96.2,14.5,21,17
1987,7,0,38.7,12.6,12,5
1987,8,0,70.9,27.5,12,9
1987,9,0,148.5,27.0,22,19
1987,10,0,119.7,12.8,24,20
1987,11,0,83.6,16.2,16,13
1987,12,0,104.9,20.3,19,17
1988,1,0,194.0,24.0,25,24
1988,2,0,73.9,11.7,18,15
1988,3,0,142.1,26.2,29,23
1988,4,0,40.2,11.2,15,8
1988,5,0,87.2,27.0,15,15
1988,6,0,51.5,26.1,10,7
1988,7,0,145.0,22.2,24,19
1988,8,0,145.2,19.0,28,18
1988,9,0,120.8,23.6,19,16
1988,10,0,104.3,19.2,22,17
1988,11,0,73.7,14.7,15,13
1988,12,0,88.8,33.1,22,14
1989,1,0,132.7,28.3,20,16
1989,2,0,150.8,27.2,27,24
1989,3,0,170.1,15.6,29,24
1989,4,0,90.4,20.9,15,11
1989,5,0,25.1,7.6,14,6
1989,6,0,99.8,27.1,18,13
1989,7,0,18.1,7.5,9,6
1989,8,0,121.9,20.8,20,18
1989,9,0,67.0,17.2,15,13
1989,10,0,218.7,35.5,25,20
1989,11,0,65.4,10.4,15,12
1989,12,0,114.6,28.3,15,13
1990,1,0,160.9,20.6,28,25
1990,2,0,243.2,30.4,25,25
1990,3,0,50.5,4.7,27,18
1990,4,0,71.8,16.6,19,14
1990,5,0,13.7,4.1,10,6
1990,6,0,93.2,17.9,21,16
1990,7,0,85.0,14.2,14,11
1990,8,0,93.9,17.2,25,19
1990,9,0,33.1,12.0,12,8
1990,10,0,178.4,22.6,27,24
1990,11,0,90.2,28.0,17,14
1990,12,0,165.7,26.1,20,16
1991,1,0,110.8,15.2,21,16
1991,2,0,89.0,19.3,16,13
1991,3,0,127.5,21.6,22,16
1991,4,0,141.4,25.3,19,14
1991,5,0,18.4,7.8,10,5
1991,6,0,87.3,12.3,24,17
1991,7,0,84.2,15.2,23,15
1991,8,0,86.6,31.4,14,11
1991,9,0,95.3,24.4,16,12
1991,10,0,122.7,27.2,21,16
1991,11,0,113.0,21.1,22,19
1991,12,0,91.7,23.9,16,10
1992,1,0,135.9,34.0,12,9
1992,2,0,73.8,9.5,18,17
1992,3,0,161.4,28.8,25,21
1992,4,0,148.6,27.2,26,18
1992,5,0,71.6,10.5,19,15
1992,6,0,46.1,23.3,11,8
1992,7,0,102.8,16.1,24,19
1992,8,0,192.3,29.2,25,22
1992,9,0,120.5,16.5,21,19
1992,10,0,65.6,17.8,17,12
1992,11,0,191.5,23.6,28,25
1992,12,0,89.9,17.0,21,15
1993,1,0,157.4,21.8,29,26
1993,2,0,29.4,10.6,9,5
1993,3,0,68.9,15.4,20,15
1993,4,0,110.6,19.0,21,20
1993,5,0,116.7,33.0,20,12
1993,6,0,100.6,23.0,16,13
1993,7,0,91.4,14.0,25,17
1993,8,0,60.0,16.7,14,11
1993,9,0,87.9,21.7,15,12
1993,10,0,38.4,13.0,8,8
1993,11,0,83.5,23.5,17,13
1993,12,0,247.7,25.5,30,30
1994,1,0,195.4,21.1,28,26
1994,2,0,130.4,34.0,17,17
1994,3,0,176.2,16.0,29,26
1994,4,0,118.4,14.6,20,20
1994,5,0,66.3,16.0,16,14
1994,6,0,78.9,15.8,15,12
1994,7,0,133.7,22.7,20,13
1994,8,0,122.7,41.7,17,13
1994,9,0,95.9,21.4,19,17
1994,10,0,64.4,17.6,18,11
1994,11,0,114.1,19.2,23,22
1994,12,0,219.1,33.3,28,25
1995,1,0,232.6,26.9,29,25
1995,2,0,147.8,26.0,26,21
1995,3,0,111.2,14.8,25,20
1995,4,0,33.6,5.8,15,12
1995,5,0,72.3,20.3,18,10
1995,6,0,37.4,22.5,6,4
1995,7,0,102.7,32.3,19,16
1995,8,0,19.2,6.2,8,5
1995,9,0,59.9,15.2,16,8
1995,10,0,192.9,35.4,20,18
1995,11,0,91.5,14.6,19,16
1995,12,0,59.7,10.2,12,11
1996,1,0,67.1,10.8,18,13
1996,2,0,141.2,19.2,18,17
1996,3,0,105.3,20.9,17,14
1996,4,0,83.4,25.1,17,13
1996,5,0,75.1,16.7,15,13
1996,6,0,32.9,6.9,13,7
1996,7,0,63.4,13.0,18,14
1996,8,0,61.7,11.0,17,11
1996,9,0,45.8,16.5,9,8
1996,10,0,179.7,34.7,28,22
1996,11,0,122.9,25.0,21,17
1996,12,0,45.4,20.3,15,7
1997,1,0,26.2,7.6,11,6
1997,2,0,178.5,23.3,24,21
1997,3,0,39.7,6.6,16,12
1997,4,0,49.3,24.6,9,5
1997,5,0,77.2,13.3,18,15
1997,6,0,112.9,28.3,16,16
1997,7,0,104.4,17.3,18,15
1997,8,0,142.7,24.8,23,15
1997,9,0,92.8,11.8,16,12
1997,10,0,129.0,18.1,16,14
1997,11,0,100.3,25.1,21,15
1997,12,0,124.2,24.2,21,16
1998,1,0,155.1,26.9,17,17
1998,2,0,64.9,16.0,20,13
1998,3,0,115.8,20.5,18,14
1998,4,1,81.4,18.8,23,19
1998,5,0,39.9,11.3,14,9
1998,6,0,196.1,31.1,24,22
1998,7,0,70.3,16.2,19,13
1998,8,0,139.4,29.4,18,13
1998,9,0,83.5,32.0,17,12
1998,10,0,159.0,25.8,25,21
1998,11,0,172.8,27.0,21,19
1998,12,0,141.5,17.9,25,23
1999,1,0,170.3,15.4,25,21
1999,2,0,95.9,19.5,19,15
1999,3,0,74.9,15.5,20,15
1999,4,0,68.3,14.9,21,16
1999,5,0,62.2,17.1,15,13
1999,6,0,54.6,20.7,16,10
1999,7,0,75.6,15.8,15,11
1999,8,0,110.3,16.4,21,15
1999,9,0,171.7,27.1,25,20
1999,10,0,58.7,10.3,20,16
1999,11,0,160.1,43.2,20,18
1999,12,0,274.2,35.9,27,25
2000,1,0,88.9,17.2,20,15
2000,2,0,137.5,25.3,26,21
2000,3,0,58.5,9.7,16,10
