LA,RoadNumber,RoadClass
Westmeath County Council,R-392,Regional
Westmeath County Council,R-393,Regional
Westmeath County Council,R-394,Regional
Westmeath County Council,R-395,Regional
Westmeath County Council,R-396,Regional
Westmeath County Council,R-400,Regional
Westmeath County Council,R-420,Regional
Westmeath County Council,R-436,Regional
Westmeath County Council,R-444,Regional
Westmeath County Council,R-446,Regional
Westmeath County Council,R-914,Regional
Westmeath County Council,R-915,Regional
Westmeath County Council,R-916,Regional
Wicklow County Council,R-115,Regional
Wicklow County Council,R-117,Regional
Wicklow County Council,R-410,Regional
Wicklow County Council,R-411,Regional
Wicklow County Council,R-412,Regional
Wicklow County Council,R-725,Regional
Wicklow County Council,R-746,Regional
Wicklow County Council,R-747,Regional
Wicklow County Council,R-748,Regional
Wicklow County Council,R-749,Regional
Wicklow County Council,R-750,Regional
Wicklow County Council,R-751,Regional
Wicklow County Council,R-752,Regional
Wicklow County Council,R-753,Regional
Wicklow County Council,R-754,Regional
Wicklow County Council,R-755,Regional
Wicklow County Council,R-756,Regional
Wicklow County Council,R-757,Regional
Wicklow County Council,R-758,Regional
Wicklow County Council,R-759,Regional
Wicklow County Council,R-760,Regional
Wicklow County Council,R-761,Regional
Wicklow County Council,R-762,Regional
Wicklow County Council,R-763,Regional
Wicklow County Council,R-764,Regional
Wicklow County Council,R-765,Regional
Wicklow County Council,R-766,Regional
Wicklow County Council,R-767,Regional
Wicklow County Council,R-768,Regional
Wicklow County Council,R-772,Regional
Wicklow County Council,R-773,Regional
Wicklow County Council,R-774,Regional
Wicklow County Council,R-918,Regional
Wexford County Council,R-700,Regional
Wexford County Council,R-702,Regional
Wexford County Council,R-704,Regional
Wexford County Council,R-714,Regional
Wexford County Council,R-723,Regional
Wexford County Council,R-725,Regional
Wexford County Council,R-729,Regional
Wexford County Council,R-730,Regional
Wexford County Council,R-731,Regional
Wexford County Council,R-732,Regional
Wexford County Council,R-733,Regional
Wexford County Council,R-734,Regional
Wexford County Council,R-735,Regional
Wexford County Council,R-736,Regional
Wexford County Council,R-737,Regional
Wexford County Council,R-738,Regional
Wexford County Council,R-739,Regional
Wexford County Council,R-740,Regional
Wexford County Council,R-741,Regional
Wexford County Council,R-742,Regional
Wexford County Council,R-743,Regional
Wexford County Council,R-744,Regional
Wexford County Council,R-745,Regional
Wexford County Council,R-746,Regional
Wexford County Council,R-769,Regional
Wexford County Council,R-770,Regional
Wexford County Council,R-772,Regional
Wexford County Council,R-889,Regional
Wexford County Council,R-890,Regional
