,route_long_name,g_trip_headsign,route_id,route_short_name,direction_id,variation_route_id,first_stop_id,last_stop_id,first_stop_name,last_stop_name,num_stops
BR44,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5235401,Galway Tech Park,Rahylin Glebe,37
BR45,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5235201,Galway Tech Park,Sliabh Rua,37
BR46,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5236901,Galway Tech Park,Yeats College,37
BR47,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5243601,Galway Tech Park,Forster Street,37
BR48,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5235601,Galway Tech Park,Ballybane Centre,37
BR49,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5236601,Galway Tech Park,Wellpark Retail,37
BR50,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B522331,Galway Tech Park,Eyre Square,37
BR51,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5236301,Galway Tech Park,Parnell Avenue,37
BR52,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5236501,Galway Tech Park,ATU Galway Cluain Mhuire,37
BR53,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5234901,Galway Tech Park,Ballybrit Industrial Estate,37
BR54,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5234801,Galway Tech Park,Ballybrit Heights,24
BR55,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B5203201,Bóthar na Trá GAA,Monivea Road,38
BR56,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B555431,Bóthar na Trá GAA,Parkmore Road,38
BR57,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B5234301,Bóthar na Trá GAA,Ballybrit Crescent,38
BR58,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B5233501,Bóthar na Trá GAA,Gortcam,38
BR59,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B522301,Bóthar na Trá GAA,Scoil Éinde Boys NS,38
BR60,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B5233601,Bóthar na Trá GAA,Glenavon Drive,38
BR61,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B5233201,Bóthar na Trá GAA,Walter Macken Road,38
BR62,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B5233901,Bóthar na Trá GAA,Ballybrit Heights,38
BR63,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B5233401,Bóthar na Trá GAA,Béal Srutha,38
BR64,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B5234201,Bóthar na Trá GAA,Ballybrit Crescent,38
BR65,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B5222801,Bóthar na Trá GAA,Fr Griffin Avenue,16
BR66,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B5222001,Bóthar na Trá GAA,Ladies Beach,16
BR67,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5221801,8460B555431,Galway Tennis Club,Parkmore Road,38
BR68,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5221801,8460B5203201,Galway Tennis Club,Monivea Road,38
BR69,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5221801,8460B5233501,Galway Tennis Club,Gortcam,38
BR70,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5221801,8460B5234201,Galway Tennis Club,Ballybrit Crescent,38
BR71,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5221801,8460B5234301,Galway Tennis Club,Ballybrit Crescent,38
BR72,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5221801,8460B5222901,Galway Tennis Club,Fr Griffin Road,16
BR73,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5221901,8460B555431,Diving Board,Parkmore Road,38
BR74,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5221901,8460B5245001,Diving Board,Merchants Road,38
BR75,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5221901,8460B5203201,Diving Board,Monivea Road,38
BR76,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5221901,8460B5222501,Diving Board,Devon Park,38
BR77,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5221901,8460B5234301,Diving Board,Ballybrit Crescent,38
BR78,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5222001,8460B555431,Ladies Beach,Parkmore Road,38
BR79,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5222001,8460B5234301,Ladies Beach,Ballybrit Crescent,38
BR80,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5222001,8460B5233601,Ladies Beach,Glenavon Drive,38
BR81,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5222101,8460B555431,Salthill Park,Parkmore Road,38
